Faction,ShipName,Class,StructureHP,Capacity_m3,FuelCapacity_units,Mass_kg,VolumeUnpackaged_m3,VolumePackaged_m3,InertiaModifier,ShieldRecharge_s,Capacitor_GJ,SpecificHeat_C,Conductance_k,MaxTargetRange_km,MaxLockedTargets,SignatureRadius_m,ScanResolution_mm,MaxVelocity_mps,WarpSpeed_c
Exclave,MAUL,Cruiser,4400.0,20800.0,24160.0,548435920.0,743900.0,0,0.04,240.0,80.0,0,0,100.0,5.0,290.0,250.0,400.0,5.0
Exclave,TADES,Destroyer,2600.0,3120.0,5972.0,74655480.0,104100.0,0,0.15,240.0,65.0,0,0,100.0,5.0,130.0,275.0,420.0,6.5
Exclave,HAF,Frigate,2650.0,3120.0,4184.0,81883000.0,96332.94118,0,0.25,240.0,50.0,0,0,100.0,5.0,65.0,295.0,440.0,6.0
Exclave,LAI,Frigate,2100.0,1040.0,2400.0,18929160.0,31900.0,0,0.2,240.0,40.0,0,0,100.0,5.0,75.0,295.0,440.0,6.0
Exclave,LORHA,Frigate,2155.0,6240.0,2508.0,31369320.0,43400.0,0,0.3,240.0,30.0,0,0,100.0,5.0,70.0,295.0,450.0,6.0
Exclave,MCF,Frigate,2400.0,2080.0,6548.0,52313760.0,69600.0,0,0.2,240.0,40.0,0,0,100.0,5.0,70.0,295.0,410.0,6.0
Exclave,USV,Frigate,2160.0,3120.0,2420.0,30266600.0,40600.0,0,0.2,240.0,45.0,0,0,100.0,5.0,70.0,300.0,280.0,6.0
Keep,Recurve,Corvette,1650.0,520.0,970.0,10400000.0,16000.0,0,0.2,240.0,50.0,0,0,100.0,5.0,60.0,500.0,405.0,3.0
Keep,Reflex,Corvette,1250.0,520.0,1750.0,9750000.0,13000.0,0,0.34,240.0,50.0,0,0,100.0,5.0,50.0,500.0,260.0,3.5
Keep,Reiver,Corvette,1900.0,520.0,1416.0,10200000.0,12000.0,0,0.4,240.0,50.0,0,0,100.0,5.0,50.0,500.0,435.0,3.0
Keep,Wend,Shuttle,750.0,520.0,200.0,6800000.0,4000.0,0,0.46,240.0,32.0,0,0,100.0,5.0,30.0,500.0,260.0,3.0
Synod,Carom,Corvette,1300.0,300.0,3000.0,7200000.0,12000.0,0,0.45,240.0,50.0,0,0,100.0,5.0,50.0,500.0,270.0,3.0
Synod,Stride,Corvette,1450.0,320.0,3200.0,7900000.0,12000.0,0,0.56,240.0,40.0,0,0,100.0,5.0,50.0,500.0,255.0,3.0
Synod,Chumaq,Cruiser,6250.0,312000.0,270585.0,1739489520.0,2315100.0,0,0.02,240.0,80.0,0,0,100.0,5.0,580.0,125.0,170.0,3.0
